Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Adrar,AR,5,431577.0,399714.0
Ain Defla,AD,4,4552.0,766013.0
Ain Temouchent,AT,3,2419.0,371239.0
Alger,AL,1,785.0,609499.0
Annaba,AN,2,1415.0,1119791.0
Batna,BT,4,3232.0,270061.0
Bechar,BC,4,160871.0,912577.0
Bejaia,BJ,6,12132.0,721356.0
Biskra,BS,6,21485.0,1002937.0
Blida,BL,2,1489.0,628475.0
Bordj Bou Arreridj,BB,5,3936.0,695583.0
Bouira,BU,4,4464.0,802083.0
Boumerdes,BM,3,1469.0,1002088.0
Chlef,CH,2,4104.0,938475.0
Constantine,CO,4,2252.0,1092184.0
Djelfa,DJ,3,32392.0,228624.0
El Bayadh,EB,6,71727.0,2988145.0
El Oued,EO,4,43950.0,647548.0
El Tarf,ET,6,2888.0,408414.0
Ghardaia,GR,1,84442.0,363598.0
Guelma,GL,5,3714.0,482430.0
Illizi,IL,1,293655.0,52333.0
Jijel,JJ,2,2405.0,636948.0
Khenchela,KH,3,9558.0,386683.0
Laghouat,LG,2,27526.0,455602.0
M'Sila,MS,2,17927.0,784073.0
Mascara,MC,3,5662.0,819932.0
Medea,MD,6,8704.0,766886.0
Mila,ML,3,3518.0,737118.0
Mostaganem,MG,6,2233.0,990591.0
Naama,NA,1,29767.0,192891.0
Oran,OR,1,2143.0,1454078.0
Ouargla,OG,2,154130.0,558558.0
Oum el Bouaghi,OB,1,6257.0,621612.0
Relizane,RE,1,4870.0,726180.0
Saida,SD,2,6687.0,330641.0
Setif,SF,1,6687.0,1489979.0
Sidi Bel Abbes,SB,5,9345.0,604744.0
Skikda,SK,6,4149.0,898680.0
Souk Ahras,SA,3,4225.0,438127.0
Tamanghasset,TM,3,601856.0,176637.0
Tebessa,TB,5,13272.0,648703.0
Tiaret,TR,4,20123.0,846823.0
Tindouf,TN,3,161513.0,49149.0
Tipaza,TP,6,1744.0,591010.0
Tissemsilt,TS,5,3217.0,294476.0
Tizi Ouzou,TO,5,2958.0,1127607.0
Tlemcen,TL,4,9087.0,949135.0
