Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Adrar,AR,3,431495,439693
Aïn Defla,AD,4,4547,771890
Aïn Témouchent,AT,2,2402,384565
Alger,AL,3,769,2988145
Annaba,AN,4,1411,640050
Batna,BT,5,12138,1128030
Béchar,BC,4,161005,274866
Béjaïa,BJ,1,3227,915835
Biskra,BS,2,21501,730262
Blida,BL,0,1481,1009892
Bordj Bou Arréridj,BB,5,3936,716423
Bouira,BU,4,4468,695583
Boumerdès,BM,2,1452,802083
Chlef,CH,3,4075,1013718
Constantine,CO,2,2244,943112
Djelfa,DJ,0,32356,1223223
El Bayadh,EB,5,71680,262187
El Oued,EO,0,43811,673934
El Tarf,ET,5,2888,411783
Ghardaïa,GR,2,84469,375988
Guelma,GL,1,3685,482430
Illizi,IL,5,293537,54490
Jijel,JJ,2,2398,636948
Khenchela,KH,1,9572,386683
Laghouat,LG,4,27552,477328
M'Sila,MS,1,17935,991846
Mascara,MC,5,5674,784073
Médéa,MD,3,8718,830943
Mila,ML,3,3504,768419
Mostaganem,MG,0,2211,746947
Naâma,,1,29773,209470
Oran,OR,1,2134,1584607
Ouargla,OG,1,154234,558558
Oum el Bouaghi,OB,0,6258,644364
Relizane,RE,4,4872,733060
Saïda,SD,4,6760,330641
Sétif,SF,0,6664,1496150
Sidi Bel Abbès,SB,0,9379,604744
Skikda,SK,5,4146,904195
Souk Ahras,SA,3,4224,440299
Tamanghasset,TM,4,601542,198691
Tébessa,TB,2,13260,657227
Tiaret,TR,3,20112,846823
Tindouf,TN,0,161565,159898
Tipaza,TP,1,1733,617661
Tissemsilt,TS,2,3209,296366
Tizi Ouzou,TO,5,2969,1127608
Tlemcen,TL,3,9064,949135
