Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Bengo,BO,1,31371.0,445700.0
Benguela,BG,5,31788.0,2543500.0
Bie,BI,3,70314.0,1709100.0
Cabinda,CB,1,7270.0,824100.0
Cuando Cubango,CC,5,199049.0,619800.0
Cuanza Norte,CN,3,24190.0,510000.0
Cuanza Sul,CS,6,55660.0,2172200.0
Cunene,CU,1,89342.0,1157500.0
Huambo,HM,2,34274.0,2389200.0
Huila,HL,4,75002.0,2906800.0
Luanda,LU,5,2418.0,8247700.0
Lunda Norte,LN,6,102783.0,1001100.0
Lunda Sul,LS,4,17625.0,629200.0
Malanje,ML,2,97602.0,1141500.0
Moxico,MX,2,223023.0,880500.0
Namibe,NA,6,58137.0,588400.0
Uige,UI,5,58698.0,1710800.0
Zaire,ZA,4,40130.0,698500.0
