Province,Colour,Population,Population (1970) (People)
Bengo,#66a61e,445700,NA
Benguela,#e6ab02,2543500,466091
Bie,#1b9e77,1709100,609368
Cabinda,#66a61e,824100,81265
Cuando Cubango,#e6ab02,619800,113562
Cuanza Norte,#1b9e77,510000,304565
Cuanza Sul,#d95f02,2172200,462968
Cunene,#66a61e,1157500,NA
Huambo,#e7298a,2389200,821168
Huila,#7570b3,2906800,700715
Luanda,#e6ab02,8247700,569113
Lunda Norte,#d95f02,1001100,302278
Lunda Sul,#7570b3,629200,NA
Malanje,#e7298a,1141500,545935
Moxico,#e7298a,880500,189885
Namibe,#d95f02,588400,52179
Uige,#e6ab02,1710800,386709
Zaire,#7570b3,698500,40365
