Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Algeria,DZA,2,2381740.0,43851044.0
Bahrain,BHR,2,760.0,1701575.0
Comoros,COM,5,1861.0,869601.0
Djibouti,DJI,3,23180.0,988000.0
Egypt,EGY,5,995450.0,102334404.0
Iraq,IRQ,2,434320.0,40222493.0
Jordan,JOR,1,88780.0,10203134.0
Kuwait,KWT,5,17820.0,4270571.0
Lebanon,LBN,3,10230.0,6825445.0
Libya,LBY,1,1759540.0,6871292.0
Mauritania,MRT,5,1030700.0,4649658.0
Morocco,MAR,3,446300.0,36910560.0
Oman,OMN,6,309500.0,5106626.0
Palestine,PSE,6,6020.0,5101414.0
Qatar,QAT,6,11610.0,2881053.0
Saudi Arabia,SAU,3,2149690.0,34813871.0
Somalia,SOM,2,627340.0,15893222.0
Sudan,SDN,6,1765048.0,43849260.0
Syria,SYR,5,183630.0,17500658.0
Tunisia,TUN,4,140.0,11818619.0
United Arab Emirates,ARE,4,83600.0,9890402.0
Yemen,YEM,4,527970.0,29825964.0
