Country,Colour,Population,GDP
Algeria,#e7298a,43851044,169988240000
Bahrain,#e7298a,1701575,38574070000
Comoros,#e6ab02,869601,1185730000
Djibouti,#1b9e77,988000,3318720000
Egypt,#e6ab02,102334404,303175130000
Iraq,#e7298a,40222493,234094040000
Jordan,#66a61e,10203134,43743660000
Kuwait,#e6ab02,4270571,134761200000
Lebanon,#1b9e77,6825445,53367040000
Libya,#66a61e,6871292,52076250000
Mauritania,#e6ab02,4649658,7593750000
Morocco,#1b9e77,36910560,118725280000
Oman,#d95f02,5106626,76983090000
Palestine,#d95f02,5101414,14620000000
Qatar,#d95f02,2881053,262394040000
Saudi Arabia,#1b9e77,34813871,1609323460000
Somalia,#e7298a,15893222,4721000000
Sudan,#d95f02,43849260,169474850000
Syria,#e6ab02,17500658,40410000000
Tunisia,#7570b3,11818619,125783480000
United Arab Emirates,#7570b3,9890402,655789430000
Yemen,#7570b3,29825964,26910000000
