Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Buenos Aires,BA,3,307571.0,15594428.0
Catamarca,CT,4,102602.0,367820.0
Chaco,CC,5,99633.0,1053466.0
Chubut,CH,6,224686.0,506668.0
Ciudad de Buenos Aires,DF,2,203.0,2891082.0
Cordoba,CB,2,165321.0,3304825.0
Corrientes,CN,2,88199.0,993338.0
Entre Rios,ER,5,78781.0,1236300.0
Formosa,FM,4,72066.0,527895.0
Jujuy,JY,2,53219.0,672260.0
La Pampa,LP,6,143440.0,316940.0
La Rioja,LR,5,89680.0,331847.0
Mendoza,MZ,3,148827.0,1741610.0
Misiones,MN,1,29801.0,1097829.0
Neuquen,NQ,5,94078.0,550334.0
Rio Negro,RN,1,203013.0,633374.0
Salta,SA,3,155488.0,1215207.0
San Juan,SJ,1,89651.0,680427.0
San Luis,SL,4,76748.0,431588.0
Santa Cruz,SC,2,243943.0,272524.0
Santa Fe,SF,4,133007.0,3200736.0
Santiago del Estero,SE,6,136351.0,896461.0
Tierra del Fuego,TF,3,21263.0,126190.0
Tucuman,TM,2,22524.0,1448200.0
