Region,Colour,Population,GDP
Buenos Aires,#1b9e77,15594428,292689868
Catamarca,#7570b3,367820,6150949
Chaco,#e6ab02,1053466,9832643
Chubut,#d95f02,506668,17747854
Ciudad de Buenos Aires,#e7298a,2891082,154863803
Cordoba,#e7298a,3304825,69363739
Corrientes,#e7298a,993338,7968013
Entre Rios,#e6ab02,1236300,20743409
Formosa,#7570b3,527895,3807057
Jujuy,#e7298a,672260,6484938
La Pampa,#d95f02,316940,6990262
La Rioja,#e6ab02,331847,5590516
Mendoza,#1b9e77,1741610,33431369
Misiones,#66a61e,1097829,9646826
Neuquen,#e6ab02,550334,22564106
Rio Negro,#66a61e,633374,10264584
Salta,#1b9e77,1215207,13438835
San Juan,#66a61e,680427,8262309
San Luis,#7570b3,431588,11780849
Santa Cruz,#e7298a,272524,11663738
Santa Fe,#7570b3,3200736,81588690
Santiago del Estero,#d95f02,896461,8387859
Tierra del Fuego,#1b9e77,126190,7049276
Tucuman,#e7298a,1448200,13856199
