Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Acklins,AK,5,494,565
Biminis,BI,1,34,1988
Berry Islands,BY,0,62,807
Black Point,BP,2,46,414
Cat Island,CI,3,369,1522
Central Abaco,CA,0,712,9196
Central Andros,CN,3,1211,662
Central Eleuthera,CE,3,69,2363
City of Freeport,FP,1,26,26914
Crooked Island,CK,4,332,330
East Grand Bahama,EGB,2,577,23145
Exuma,EX,5,348,6514
Grand Cay,GC,0,6,383
Harbour Island,HB,1,5,1762
Hope Town,HT,2,43,691
Inagua,IN,3,1679,913
Long Island,LI,4,479,3094
Mangrove Cay,MC,5,486,892
Mayaguana,MG,0,289,277
Moore's Island,MI,1,21,593
New Providence,NP,2,230,246329
North Abaco,,1,218,3772
North Andros,ND,4,2863,4471
North Eleuthera,NE,4,182,2918
Ragged Island,RI,3,42,72
Rum Cay,RC,4,91,99
San Salvador,SS,5,155,940
South Abaco,SA,2,432,1867
South Andros,SD,0,1095,1465
South Eleuthera,SE,5,212,2921
Spanish Wells,SW,1,3,1551
West Grand Bahama,WG,0,575,24454
