Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Acre,AC,6,164123.0,790101.0
Alagoas,AL,4,27779.0,3321730.0
Amapa,AP,3,142829.0,750912.0
Amazonas,AM,3,1559159.0,3873743.0
Bahia,BA,3,564733.0,15126371.0
Ceara,CE,2,148920.0,8842791.0
Distrito Federal,DF,2,5780.0,2852372.0
Espirito Santo,ES,2,46096.0,3885049.0
Goias,GO,4,340112.0,6523222.0
Maranhao,MA,3,331937.0,6850884.0
Mato Grosso,MT,2,903366.0,3224357.0
Mato Grosso do Sul,MS,1,357146.0,2619657.0
Minas Gerais,MG,6,586522.0,20734097.0
Para,PA,1,1247955.0,8073924.0
Paraiba,PB,1,56470.0,3943885.0
Parana,PR,6,199308.0,11081692.0
Pernambuco,PE,6,98148.0,9277727.0
Piaui,PI,4,251578.0,3194718.0
Rio Grande do Norte,RN,4,52811.0,3408510.0
Rio Grande do Sul,RS,4,281730.0,11207274.0
Rio de Janeiro,RJ,3,43780.0,16461173.0
Rondonia,RO,5,237591.0,1748531.0
Roraima,RR,5,224301.0,496936.0
Santa Catarina,SC,1,95736.0,6727148.0
Sao Paulo,SP,5,248223.0,44035304.0
Sergipe,SE,6,21915.0,2219574.0
Tocantins,TO,5,277721.0,1496880.0
