State,Colour,Population,GDP
Acre,#d95f02,790101,13.622
Alagoas,#7570b3,3321730,46.364
Amapa,#1b9e77,750912,13.861
Amazonas,#1b9e77,3873743,86.56
Bahia,#1b9e77,15126371,245.025
Ceara,#e7298a,8842791,130.621
Distrito Federal,#e7298a,2852372,215.613
Espirito Santo,#e7298a,3885049,120.363
Goias,#7570b3,6523222,173.632
Maranhao,#1b9e77,6850884,78.475
Mato Grosso,#e7298a,3224357,107.418
Mato Grosso do Sul,#66a61e,2619657,83.082
Minas Gerais,#d95f02,20734097,519.326
Para,#66a61e,8073924,130.883
Paraiba,#66a61e,3943885,56.14
Parana,#d95f02,11081692,376.96
Pernambuco,#d95f02,9277727,156.955
Piaui,#7570b3,3194718,39.148
Rio de Janeiro,#1b9e77,16461173,659.137
Rio Grande do Norte,#7570b3,3408510,57.25
Rio Grande do Sul,#7570b3,11207274,381.985
Rondonia,#e6ab02,1748531,36.563
Roraima,#e6ab02,496936,10.354
Santa Catarina,#66a61e,6727148,249.073
Sao Paulo,#e6ab02,44035304,1939.89
Sergipe,#d95f02,2219574,38.554
Tocantins,#e6ab02,1496880,28.93
