Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Acre,AC,2,164163,906876
Alagoas,AL,5,27804,3365351
Amapá,AP,2,140888,877613
Amazonas,AM,3,1558520,4269995
Bahia,BA,0,563157,14985284
Ceará,CE,5,148862,9240580
Espírito Santo,ES,2,46026,3094325
Federal District,DF,3,5782,4108508
Goiás,GO,2,340066,7206589
Maranhão,MA,2,328508,7153262
Mato Grosso,MT,4,903418,3567234
Mato Grosso do Sul,MS,5,357138,2839188
Minas Gerais,MG,1,586532,21411923
Pará,PA,0,1238302,8777124
Paraíba,PB,0,56485,4059905
Paraná,PR,4,198642,11597484
Pernambuco,PE,4,97935,9674793
Piauí,PI,1,251583,3289290
Rio de Janeiro,RJ,3,43703,17463349
Rio Grande do Norte,RN,1,52697,3560903
Rio Grande do Sul,RS,0,278771,11466630
Rondônia,RO,1,237596,1815278
Roraima,RR,1,223927,652713
São Paulo,SP,0,248067,46649132
Santa Catarina,SC,5,95143,7338473
Sergipe,SE,4,21915,2338474
Tocantins,TO,3,277654,1607363
