Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Banteay Meanchey,OM,2,6679.0,859545.0
Battambang,BA,1,11702.0,987400.0
Kampong Cham,KM,6,4549.0,895763.0
Kampong Chhnang,KG,4,5521.0,525932.0
Kampong Speu,KS,2,7017.0,872219.0
Kampong Thom,KT,3,13814.0,677260.0
Kampot,KP,3,4873.0,592845.0
Kandal,KN,1,3179.0,1195547.0
Koh Kong,KK,6,10090.0,123618.0
Kep,KE,6,336.0,41798.0
Kratie,KH,4,11094.0,372825.0
Pailin,PL,3,803.0,71600.0
Preah Sihanouk,KA,4,1938.0,302887.0
Mondul Kiri,MK,3,14288.0,88649.0
Otdar Meanchey,OC,1,6158.0,261252.0
Phnom Penh,PP,5,679.0,2129371.0
Pursat,PO,5,12692.0,411759.0
Preah Vihear,PH,2,13788.0,251352.0
Prey Veng,PY,5,4883.0,1057428.0
Ratanak Kiri,RO,2,10782.0,204027.0
Siem Reap,SI,4,10299.0,1006512.0
Stung Treng,ST,6,11092.0,159565.0
Svay Rieng,SR,1,2966.0,524554.0
Takeo,TA,5,3563.0,899485.0
Tbong Khmum,TB,3,5250.0,775296.0
