Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Aisen del General Carlos Ibanez del Campo,AI,2,108494.0,103158.0
Antofagasta,AN,1,126049.0,607534.0
Araucania,AR,3,31842.0,957224.0
Arica y Parinacota,AP,5,16873.0,226068.0
Atacama,AT,4,75176.0,286168.0
Biobio,BI,6,37069.0,2037414.0
Coquimbo,CO,6,40580.0,757586.0
Libertador General Bernardo O'Higgins,LI,2,16387.0,914555.0
Los Lagos,LL,2,48584.0,828708.0
Los Rios,LR,5,18430.0,384837.0
Magallanes y Antartica Chilena,MA,4,132291.0,166533.0
Maule,ML,1,30296.0,1044950.0
Nuble,NB,4,13178.0,NA
Region Metropolitana de Santiago,RM,5,15403.0,7112808.0
Tarapaca,TA,6,42226.0,330558.0
Valparaiso,VS,3,16396.0,1815902.0
