Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Anhui,AH,1,140455.0,61960000.0
Beijing,BJ,3,16808.0,21730000.0
Chongqing,CQ,5,82403.0,30480000.0
Fujian,FJ,4,122919.0,38740000.0
Gansu,GS,5,459233.0,26100000.0
Guangdong,GD,1,178341.0,109990000.0
Guangxi,GX,4,235001.0,48380000.0
Guizhou,GZ,3,174976.0,35550000.0
Hainan,HA,4,60438.0,9170000.0
Hebei,HEB,4,187240.0,74700000.0
Heilongjiang,HL,2,431767.0,37990000.0
Henan,HEN,3,166310.0,95320000.0
Hong Kong,HK,3,1106.0,7061200.0
Hubei,HUB,4,185673.0,58850000.0
Hunan,HUN,6,211231.0,68220000.0
Inner Mongolia,NM,3,1181104.0,25200000.0
Jiangsu,JS,2,98285.0,79990000.0
Jiangxi,JX,2,171041.0,45920000.0
Jilin,JL,1,191038.0,27330000.0
Liaoning,LN,5,147451.0,43780000.0
Macau,MO,6,115.0,552300.0
Ningxia,NX,4,52188.0,6750000.0
Qinghai,QH,1,720459.0,5930000.0
Shaanxi,SAA,6,204846.0,38130000.0
Shandong,SD,5,156219.0,99470000.0
Shanghai,SHG,1,6500.0,24200000.0
Shanxi,SAX,2,149708.0,36820000.0
Sichuan,SC,2,491146.0,82620000.0
Taiwan,TW,2,36193.0,23562318.0
Tianjin,TJ,5,11943.0,15620000.0
Tibet,TAR,3,1228000.0,3310000.0
Xinjiang,XJ,6,1743441.0,23980000.0
Yunnan,YN,6,388610.0,47710000.0
Zhejiang,ZJ,6,106078.0,55900000.0
