Province,Colour,Population,GDP
Anhui,#66a61e,61960000,363.1
Beijing,#1b9e77,21730000,374.86
Chongqing,#e6ab02,30480000,264.35
Fujian,#7570b3,38740000,429.36
Gansu,#e6ab02,26100000,107.67
Guangdong,#66a61e,109990000,1197.06
Guangxi,#7570b3,48380000,274.68
Guizhou,#1b9e77,35550000,176.66
Hainan,#7570b3,9170000,60.89
Hebei,#7570b3,74700000,479.17
Heilongjiang,#e7298a,37990000,231.64
Henan,#1b9e77,95320000,604.61
Hong Kong,#1b9e77,7061200,309.23
Hubei,#7570b3,58850000,486.25
Hunan,#d95f02,68220000,470.39
Inner Mongolia,#1b9e77,25200000,280.51
Jiangsu,#e7298a,79990000,1145.48
Jiangxi,#e7298a,45920000,276.48
Jilin,#66a61e,27330000,224.11
Liaoning,#e6ab02,43780000,331.78
Macau,#d95f02,552300,46.2
Ningxia,#7570b3,6750000,47.42
Qinghai,#66a61e,5930000,38.73
Shaanxi,#d95f02,38130000,288.54
Shandong,#e6ab02,99470000,1008.81
Shanghai,#66a61e,24200000,413.5
Shanxi,#e7298a,36820000,194.64
Sichuan,#e7298a,82620000,492.01
Taiwan,#e7298a,23562318,523
Tianjin,#e6ab02,15620000,269.27
Tibet,#1b9e77,3310000,17.31
Xinjiang,#d95f02,23980000,144.79
Yunnan,#d95f02,47710000,223.87
Zhejiang,#d95f02,55900000,699.83
