Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Anhui Province,AH,0,140708,61027171
Beijing Municipality,BJ,4,16317,21893095
Chongqing Municipality,CQ,5,81151,32054159
Fujian Province,FJ,0,120748,41540086
Gansu province,GS,2,403659,25019831
Guangdong Province,GD,3,174485,126012510
Guangxi Zhuang Autonomous Region,GX,4,234136,50126804
Guizhou Province,GZ,2,175380,38562148
Hainan Province,HA,3,33710,10081232
Hebei Province,HEB,5,186453,74610235
Heilongjiang Province,HL,3,448249,31850088
Henan Province,HEN,3,164782,99365519
Hong Kong Special Administrative Region,HK,5,889,7496981
Hubei Province,HUB,1,186192,57752557
Hunan Province,HUN,0,211449,66444864
Inner Mongolia Autonomous Region,NM,1,1140413,24049155
Jiangsu Province,JS,2,99895,84748016
Jiangxi Province,JX,2,166486,45188635
Jilin Province,JL,2,190272,24073453
Liaoning Province,LN,0,143693,42591407
Macao Special Administrative Region,MO,1,5,649335
Ningxia Hui Autonomous Region,NX,3,50404,7202654
Qinghai Province,QH,1,715903,5923957
Shaanxi Province,SAA,0,205683,39528999
Shandong Province,SD,1,153071,101527453
Shanghai Municipality,SHG,1,5923,24870895
Shanxi Province,SAX,4,157012,34915616
Sichuan Province,SC,4,481407,83674866
Taiwan Province,TW,2,35643,23816775
Tianjin Municipality,TJ,0,11618,13866009
Tibet Autonomous Region,TAR,5,1124206,3648100
Xinjiang Uygur Autonomous Region,XJ,4,1602200,25852345
Yunnan Province,YN,3,381526,47209277
Zhejiang Province,ZJ,5,100126,64567588
