Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Amazonas,AM,3,108131.0,76589.0
Antioquia,AN,3,64064.0,6407102.0
Arauca,AR,2,25670.0,262174.0
Atlantico,AT,6,4522.0,2070110.0
Bolivar,BL,1,26494.0,2070110.0
Boyaca,BY,6,23650.0,1217376.0
Caldas,CL,1,7638.0,998255.0
Caqueta,CQ,2,90763.0,401849.0
Casanare,CS,3,45118.0,420504.0
Cauca,CA,6,29382.0,1464488.0
Cesar,CE,2,23388.0,1200574.0
Choco,CH,6,45789.0,534826.0
Cordoba,CO,6,25349.0,1784783.0
Cundinamarca,CU,4,24697.0,10331626.0
Guainia,GN,2,69620.0,48114.0
Guaviare,GV,1,55966.0,82767.0
Huila,HU,5,20473.0,1100386.0
La Guajira,LG,5,21626.0,880560.0
Magdalena,MA,4,22030.0,1341746.0
Meta,ME,6,85987.0,1039722.0
Narino,NA,5,32133.0,1630592.0
Norte de Santander,NS,1,23185.0,1491689.0
Putumayo,PU,1,24483.0,348182.0
Quindio,QD,6,1748.0,539904.0
Risaralda,RI,5,4081.0,943401.0
San Andres y Providencia  ,SA,1,51.0,61280.0
Santander,ST,5,30692.0,2184837.0
Sucre,SU,5,11009.0,904863.0
Tolima,TO,2,23625.0,1330187.0
Valle del Cauca,VC,4,22165.0,4475886.0
Vaupes,VP,4,53683.0,40797.0
Vichada,VD,4,101586.0,107808.0
