Region,RegionLabel,ColorGroup,Inset,Geographic Area (sq. km),Population (people)
Alabama,AL,3,C,133885,5024279
Arizona,AZ,3,C,295252,7151502
Arkansas,AR,3,C,137725,3011524
California,CA,0,C,409858,39538223
Colorado,CO,0,C,269604,5773714
Connecticut,CT,4,C,12920,3605944
Delaware,DE,4,C,5207,989948
District of Columbia,DC,1,C,176,689545
Florida,FL,5,C,150875,21538187
Georgia,GA,0,C,152592,10711908
Idaho,ID,3,C,216457,1839106
Illinois,IL,1,C,145918,12812508
Indiana,IN,0,C,93727,6785528
Iowa,IO,2,C,145737,3190369
Kansas,KS,4,C,213099,2937880
Kentucky,KY,2,C,104661,4505836
Louisiana,LA,4,C,122084,4657757
Maine,ME,0,C,84747,1362359
Maryland,MD,5,C,26626,6177224
Massachusetts,MA,1,C,21218,7029917
Michigan,MI,1,C,150996,10077331
Minnesota,MN,0,C,218562,5706494
Mississippi,MS,2,C,123494,2961279
Missouri,MO,0,C,180553,6154913
Montana,MT,4,C,380829,1084225
Nebraska,NE,3,C,200339,1961504
Nevada,NV,4,C,286362,3104614
New Hampshire,NH,3,C,24041,1377529
New Jersey,NJ,2,C,20152,9288994
New Mexico,NM,2,C,314901,2117522
New York,NY,3,C,126982,20201249
North Carolina,NC,5,C,128571,10439388
North Dakota,ND,2,C,183123,779094
Ohio,OH,3,C,106860,11799448
Oklahoma,OK,5,C,181028,3959353
Oregon,OR,5,C,251338,4237256
Pennsylvania,PA,1,C,117339,13002700
Rhode Island,RI,5,C,2835,1097379
South Carolina,SC,4,C,80576,5118425
South Dakota,SD,5,C,199728,886667
Tennessee,TN,1,C,109153,6910840
Texas,TX,1,C,687733,29145505
Utah,UT,2,C,219895,3271616
Vermont,VT,2,C,24906,643077
Virginia,VA,4,C,104853,8631393
Washington,WA,0,C,175401,7705281
West Virginia,WV,0,C,62750,1793716
Wisconsin,WI,5,C,145332,5893718
Wyoming,WY,1,C,253313,576851
