Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Abbeville (0500000US45001),ABB,5,1327,24295
Acadia (0500000US22001),ACA,4,1703,57576
Accomack (0500000US51001),ACC,1,1457,33413
Ada (0500000US16001),ADA,4,2742,494967
Adair (0500000US19001),ADA,3,1478,7496
Adair (0500000US21001),ADA,1,1067,18903
Adair (0500000US29001),ADA,0,1478,25314
Adair (0500000US40001),ADA,0,1495,19495
Adams (0500000US08001),ADA,0,3069,519572
Adams (0500000US16003),ADA,0,3551,4379
Adams (0500000US17001),ADA,1,2253,65737
Adams (0500000US18001),ADA,0,882,35809
Adams (0500000US19003),ADA,0,1102,3704
Adams (0500000US28001),ADA,2,1262,29538
Adams (0500000US31001),ADA,5,1462,31205
Adams (0500000US38001),ADA,3,2562,2200
Adams (0500000US39001),ADA,0,1518,27477
Adams (0500000US42001),ADA,2,1352,103852
Adams (0500000US53001),ADA,1,5003,20613
Adams (0500000US55001),ADA,3,1786,20654
Addison (0500000US50001),ADD,0,2095,37363
Aiken (0500000US45003),AIK,4,2800,168808
Aitkin (0500000US27001),AIT,1,5173,15697
Alachua (0500000US12001),ALA,2,2511,278468
Alamance (0500000US37001),ALA,0,1125,171415
Alameda (0500000US06001),ALA,1,1952,1682353
Alamosa (0500000US08003),ALA,5,1875,16376
Albany (0500000US36001),ALB,2,1379,314848
Albany (0500000US56001),ALB,3,11156,37066
Albemarle (0500000US51003),ALB,3,1886,112395
Alcona (0500000US26001),ALC,5,1805,10167
Alcorn (0500000US28003),ALC,3,1040,34740
Alexander (0500000US17003),ALE,2,646,5240
Alexander (0500000US37003),ALE,3,682,36444
Alexandria (0500000US51005),ALE,4,1169,15223
Alfalfa (0500000US40003),ALF,5,2284,5699
Alger (0500000US26003),ALG,1,2402,8842
Allamakee (0500000US19005),ALL,3,1702,14061
Allegan (0500000US26005),ALL,2,2181,120502
Allegany (0500000US24001),ALL,5,1127,68106
Allegany (0500000US36003),ALL,1,2679,46456
Alleghany (0500000US37005),ALL,0,614,10888
Alleghany (0500000US51007),ALL,3,931,13265
Allegheny (0500000US42003),ALL,0,1933,1250578
Allen (0500000US18003),ALL,5,1709,385410
Allen (0500000US20001),ALL,3,1311,12526
Allen (0500000US21003),ALL,2,914,20588
Allen (0500000US22003),ALL,1,1987,22750
Allen (0500000US39003),ALL,4,1055,102206
Allendale (0500000US45005),ALL,4,1067,8039
Alpena (0500000US26007),ALP,2,1527,28907
Alpine (0500000US06003),ALP,2,1915,1204
Amador (0500000US06005),AMA,4,1554,40474
Amelia (0500000US51009),AME,5,1235,31307
Amherst (0500000US51011),AMH,1,867,16119
Amite (0500000US28005),AMI,4,1896,12720
Anderson (0500000US20003),AND,1,1512,7836
Anderson (0500000US21005),AND,2,534,23852
Anderson (0500000US45007),AND,2,1961,203718
Anderson (0500000US47001),AND,2,911,77123
Anderson (0500000US48001),AND,0,2786,57922
Andrew (0500000US29003),AND,1,1125,18135
Andrews (0500000US48003),AND,4,3891,18610
Androscoggin (0500000US23001),AND,1,1288,111139
Angelina (0500000US48005),ANG,2,2243,86395
Anne Arundel (0500000US24003),ANN,5,1177,588261
Anoka (0500000US27003),ANO,4,1158,363887
Anson (0500000US37007),ANS,2,1380,22055
Antelope (0500000US31003),ANT,5,2224,6295
Antrim (0500000US26009),ANT,3,1360,23431
Apache (0500000US04001),APA,4,29045,66021
Appanoose (0500000US19007),APP,3,1337,12317
Appling (0500000US13001),APP,1,1326,18444
Appomattox (0500000US51013),APP,1,67,238643
Aransas (0500000US48007),ARA,2,752,23830
Arapahoe (0500000US08005),ARA,2,2084,655070
Archer (0500000US48009),ARC,5,2400,8560
Archuleta (0500000US08007),ARC,3,3508,13359
Arenac (0500000US26011),ARE,0,948,15002
Arkansas (0500000US05001),ARK,2,2671,17149
Arlington (0500000US51015),ARL,4,2520,77487
Armstrong (0500000US42005),ARM,5,1714,65558
Armstrong (0500000US48011),ARM,5,2367,1848
Aroostook (0500000US23003),ARO,5,17671,67105
Arthur (0500000US31005),ART,0,1861,434
Ascension (0500000US22005),ASC,3,776,126500
Ashe (0500000US37009),ASH,3,1099,26577
Ashland (0500000US39005),ASH,3,1110,52447
Ashland (0500000US55003),ASH,3,2656,16027
Ashley (0500000US05003),ASH,5,2433,19062
Ashtabula (0500000US39007),ASH,5,1833,97574
Asotin (0500000US53003),ASO,2,1665,22285
Assumption (0500000US22007),ASS,5,952,21039
Atascosa (0500000US48013),ATA,0,3163,48981
Atchison (0500000US20005),ATC,4,1127,16348
Atchison (0500000US29005),ATC,4,1416,5305
Athens (0500000US39009),ATH,1,1316,62431
Atkinson (0500000US13003),ATK,1,894,8286
Atlantic (0500000US34001),ATL,5,1572,274534
Atoka (0500000US40005),ATO,1,2564,14143
Attala (0500000US28007),ATT,1,1912,17889
Audrain (0500000US29007),AUD,3,1802,24962
Audubon (0500000US19009),AUD,5,1147,5674
Auglaize (0500000US39011),AUG,2,1039,46422
Augusta (0500000US51017),AUG,3,1388,4209
Aurora (0500000US46003),AUR,1,1848,2747
Austin (0500000US48015),AUS,2,1709,30167
Autauga (0500000US01001),AUT,2,1560,58805
Avery (0500000US37011),AVE,3,644,17806
Avoyelles (0500000US22009),AVO,1,2257,39693
Baca (0500000US08009),BAC,5,6625,3506
Bacon (0500000US13005),BAC,4,740,11140
Bailey (0500000US48017),BAI,2,2144,6904
Baker (0500000US12003),BAK,0,1532,28259
Baker (0500000US13007),BAK,0,888,2876
Baker (0500000US41001),BAK,3,7983,16668
Baldwin (0500000US01003),BAL,1,4312,231767
Baldwin (0500000US13009),BAL,2,687,43799
Ballard (0500000US21007),BAL,5,710,7728
Baltimore (0500000US24005),BAL,1,1604,854535
Baltimore (0500000US24009),BAL,0,623,92783
Bamberg (0500000US45009),BAM,0,1027,13311
Bandera (0500000US48019),BAN,0,2061,20851
Banks (0500000US13011),BAN,0,603,18035
Banner (0500000US31007),BAN,5,1929,674
Bannock (0500000US16005),BAN,4,2980,87018
Baraga (0500000US26013),BAR,2,2399,8158
Barber (0500000US20007),BAR,1,2944,4228
Barbour (0500000US01005),BAR,3,2340,25223
Barbour (0500000US54001),BAR,5,883,15465
Barnes (0500000US38003),BAR,5,3918,10853
Barnstable (0500000US25001),BAR,4,1103,228996
Barnwell (0500000US45011),BAR,2,1440,20589
Barren (0500000US21009),BAR,5,1296,44485
Barron (0500000US55005),BAR,2,2302,46711
Barrow (0500000US13013),BAR,3,425,83505
Barry (0500000US26015),BAR,3,1497,62423
Barry (0500000US29009),BAR,1,2051,34534
Bartholomew (0500000US18005),BAR,1,1063,82208
Barton (0500000US20009),BAR,3,2332,25493
Barton (0500000US29011),BAR,0,1545,11637
Bartow (0500000US13015),BAR,5,1218,108901
Bastrop (0500000US48021),BAS,3,2317,97216
Bates (0500000US29013),BAT,3,2212,16042
Bath (0500000US21011),BAT,1,740,12750
Bath (0500000US51019),BAT,0,2015,79462
Baxter (0500000US05005),BAX,1,1520,41627
Bay (0500000US12005),BAY,0,2291,175216
Bay (0500000US26017),BAY,3,1159,103856
Bayfield (0500000US55007),BAY,5,3883,16220
Baylor (0500000US48023),BAY,4,2333,3465
Beadle (0500000US46005),BEA,0,3276,19149
Bear Lake (0500000US16007),BEA,1,2727,6372
Beaufort (0500000US37013),BEA,3,2234,44652
