Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Bjelovar-Bilogora,BB,5,2640.0,119764.0
Brod-Posavina,SP,1,2030.0,158575.0
Dubrovnik-Neretva,DN,5,1781.0,122568.0
City of Zagreb,GZ,3,641.0,790017.0
Istria,IS,4,2813.0,208055.0
Karlovac,KA,5,3626.0,128899.0
Koprivnica-Krizevci,KK,4,1748.0,115584.0
Krapina-Zagorje,KZ,1,1229.0,132892.0
Lika-Senj,LS,3,5353.0,50927.0
Medimurje,ME,5,729.0,113804.0
Osijek-Baranja,OB,2,4155.0,305032.0
Pozega-Slavonia,PS,6,1823.0,78034.0
Primorje-Gorski Kotar,PG,1,3588.0,296195.0
Sibenik-Knin,SB,1,2984.0,109375.0
Sisak-Moslavina,SM,2,4468.0,172439.0
Split-Dalmatia,SD,2,4540.0,454798.0
Varazdin,VA,2,1262.0,175951.0
Virovitica-Podravina,VP,3,2024.0,84836.0
Vukovar-Srijem,VS,3,2454.0,179521.0
Zadar,ZD,6,3646.0,170017.0
Zagreb County,ZG,6,3060.0,317606.0
