Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
South Moravian,BK,2,7195.0,1169788.0
South Bohemian,CK,1,10057.0,637460.0
Karlovy Vary,KK,2,3314.0,310245.0
Vysocina,JK,4,6796.0,512727.0
Hradec Kralove,HK,6,4759.0,555683.0
Liberec,LK,1,3163.0,439262.0
Moravian-Silesian,VK,2,5427.0,1236028.0
Olomouc,OK,5,5267.0,639946.0
Pardubice,EK,1,4519.0,505285.0
Plzen,PK,6,7561.0,574694.0
Prague,PM,5,496.0,1272690.0
Central Bohemian,SK,2,11015.0,1274633.0
Zlin,ZK,1,3964.0,590459.0
Usti nad Labem,UK,4,5335.0,830371.0
