Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Azua,AZ,1,2688.0,222256.0
Bahoruco,BR,3,1244.0,101005.0
Barahona,BH,2,1647.0,189177.0
Dajabon,DA,4,1004.0,66467.0
Distrito Nacional,NC,6,91.0,1043186.0
Duarte,DU,4,1640.0,298913.0
El Seibo,SE,6,1775.0,93508.0
Elias Pina,EP,6,1397.0,63402.0
Espaillat,ES,2,825.0,239845.0
Hato Mayor,HM,3,1324.0,85762.0
Hermanas Mirabal,SC,1,430.0,92148.0
Independencia,IN,1,1754.0,58424.0
La Altagracia,AL,3,3001.0,353406.0
La Romana,RO,2,656.0,272597.0
La Vega,VE,3,2274.0,411290.0
Maria Trinidad Sanchez,MT,3,1212.0,141097.0
Monsenor Nouel,MN,4,992.0,174278.0
Monte Cristi,MC,1,1886.0,117221.0
Monte Plata,MP,6,2613.0,191033.0
Pedernales,PN,5,2018.0,34997.0
Peravia,PV,6,785.0,197434.0
Puerto Plata,PP,5,819.0,333221.0
Samana,SM,2,845.0,112160.0
San Cristobal,CR,1,1240.0,637429.0
San Jose de Ocoa,JO,2,853.0,54405.0
San Juan,JU,5,3360.0,221736.0
San Pedro de Macoris,PM,5,1255.0,304966.0
Sanchez Ramirez,SZ,5,1191.0,151978.0
Santiago,ST,6,2809.0,1045169.0
Santiago Rodriguez,SR,3,1152.0,57266.0
Santo Domingo,SD,4,1302.0,2906003.0
Valverde,VA,4,809.0,176720.0
