Province,Colour,Population,Population (1993) (People)
Azua,#66a61e,222256,199684
Bahoruco,#1b9e77,101005,105206
Barahona,#e7298a,189177,164835
Dajabon,#7570b3,66467,68606
Distrito Nacional,#d95f02,1043186,2193046
Duarte,#7570b3,298913,281879
El Seibo,#d95f02,93508,96770
Espaillat,#e7298a,239845,202376
Hato Mayor,#1b9e77,85762,80074
Hermanas Mirabal,#66a61e,92148,101810
Independencia,#66a61e,58424,39541
La Altagracia,#1b9e77,353406,115685
Elias Pina,#d95f02,63402,64641
La Romana,#e7298a,272597,166550
La Vega,#1b9e77,411290,344721
Maria Trinidad Sanchez,#1b9e77,141097,124957
Monsenor Nouel,#7570b3,174278,149318
Monte Cristi,#66a61e,117221,95705
Monte Plata,#d95f02,191033,167148
Pedernales,#e6ab02,34997,18054
Peravia,#d95f02,197434,201851
Puerto Plata,#e6ab02,333221,261485
Samana,#e7298a,112160,75253
San Cristobal,#66a61e,637429,420820
San Jose de Ocoa,#e7298a,54405,NA
San Juan,#e6ab02,221736,252637
San Pedro de Macoris,#e6ab02,304966,212368
Sanchez Ramirez,#e6ab02,151978,163166
Santiago,#d95f02,1045169,710803
Santiago Rodriguez,#1b9e77,57266,62144
Santo Domingo,#7570b3,2906003,NA
Valverde,#7570b3,176720,152257
