Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Al Sharqia Governorate,SH,0,4795,7163824
Alexandria Governorate,ALX,0,2585,5163750
Aswan Governorate,ASN,5,56425,1473975
Asyut Governorate,AST,0,13935,4383289
Beheira Governorate,BH,5,10983,6171613
Beni Suef Governorate,BNS,3,11006,3154100
Cairo Governorate,C,1,3002,9539673
Dakahlia Governorate,DK,1,4272,6492381
Damietta Governorate,DT,2,1017,1496765
Faiyum Governorate,FYM,4,5688,3596954
Gharbiyya Governorate,GH,2,1845,4999633
Giza Governorate,GZ,0,38185,8632021
Ismailia Governorate,IS,4,4334,1303993
Kafr el-Sheikh Governorate,KFS,3,4208,3362185
Luxor Governate,LX,5,1890,1250209
Matrouh Governorate,MT,4,154151,425624
Minya Governate,MN,2,29105,5497095
Monufia Governorate,MNF,1,2063,4301601
New Valley Governorate,WAD,1,439086,241247
North Sinai Governorate,SIN,0,27620,450328
Port Said Governorate,PTS,3,1401,749371
Qalyubia Governorate,KB,2,1178,5627420
Qena Governorate,KN,3,12320,3164281
Red Sea Governorate,BA,4,120566,359888
Sohag Governorate,SHG,2,10173,4967409
South Sinai Governorate,JS,1,29146,102018
Suez Governorate,SUZ,5,9031,728180
