Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Bulgaria,BG,3,111025,6916548
Schweiz/Suisse/Svizzera,CH,2,41280,8670300
Shqipëria,AL,1,28814,2829741
Česko,CZ,5,78873,10701777
Belgique/België,BE,1,30669,11554767
Österreich,AT,1,83948,8932664
Deutschland,DE,0,357761,83155031
Kýpros,CY,4,9278,896007
Danmark,DK,2,43642,5840045
Eesti,EE,4,45375,1330068
Elláda,GR,0,131795,10678632
España,ES,5,506146,47398695
Suomi/Finland,FI,5,337488,5533793
Hrvatska,HR,5,56431,4036355
Magyarország,HU,3,93033,9730772
France,FR,3,638457,67656682
Éire/Ireland,IE,2,69911,5006324
Ísland,IS,5,102620,368792
Nederland,NL,2,37372,17475415
Norge,NO,0,385618,5391369
Italia,IT,4,300861,59236213
Liechtenstein,LI,3,159,39055
Lietuva,LT,0,64930,2795680
Luxembourg,LU,2,2596,634730
Latvija,LV,1,64600,1893223
Crna Gora,ME,2,13865,620739
Severna Makedonija,MK,5,25434,2068808
Malta,MT,0,314,516100
Portugal,PT,3,91979,10298252
România,RO,4,238361,19201662
Serbia,RS,0,77492,6871547
Sverige,SE,1,449592,47398695
Türkiye,TR,4,780527,83614362
United Kingdom,GB,3,244490,67025542
Polska,PL,1,311939,37840001
Slovenija,SI,0,20268,2108977
Slovensko,SK,4,49010,5459781
