Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Abruzzo,ITF1,1,10795,1300645.0
"Adana, Mersin",TR62,2,29376,4034593.0
Agder og Sør-Østlandet,NO09,2,33828,730725.0
"Ağrı, Kars, Iğdır, Ardahan",TRA2,5,29935,1124898.0
Åland,FI20,0,1060,29789.0
Alentejo,PT18,0,31498,705478.0
Algarve,PT15,3,4969,438864.0
Alsace,FRF1,5,8331,1903646.0
Andalucía,ES61,4,87601,599723.0
Ankara,TR51,4,25462,8427405.0
"Antalya, Isparta, Burdur",TR61,4,36554,5503985.0
Aquitaine,FRI1,0,41713,3137694.0
Aragón,ES24,1,47758,3458041.0
Área Metropolitana de Lisboa,PT17,2,2845,1320586.0
Arnsberg,DEA5,5,8036,2846332.0
Auvergne,FRK1,3,26174,3582497.0
"Aydın, Denizli, Muğla",TR32,5,32014,1370432.0
"Aνατολική Μακεδονία, Θράκη",EL51,3,14171,3093015.0
Aττική,EL30,4,3767,3736737.0
"Balıkesir, Çanakkale",TR22,0,24006,1767237.0
Basilicata,ITF5,5,9986,558587.0
Basse-Normandie,FRD1,2,17777,1467715.0
Bedfordshire and Hertfordshire,UKH2,0,2869,1871847.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,5,5767,2417428.0
Berlin,DE30,2,885,3644826.0
Bourgogne,FRC1,2,31769,1623815.0
Brandenburg,DE40,3,29669,2511917.0
Bratislavský kraj,SK01,4,2062,659598.0
Braunschweig,DE91,5,8097,1596396.0
Bremen,DE50,5,409,682986.0
Bretagne,FRH0,5,27415,3347004.0
Bucureşti-Ilfov,RO30,1,1785,2315173.0
Budapest,HU51,2,525,1752286.0
Burgenland,AT11,0,3934,293433.0
"Bursa, Eskişehir, Bilecik",TR41,2,29103,4089156.0
Calabria,ITF6,3,15115,1912021.0
Campania,ITF3,3,13599,5740291.0
Canarias,ES70,0,7387,2206901.0
Cantabria,ES13,4,5340,581641.0
Castilla y León,ES41,0,94210,2407733.0
Castilla-La Mancha,ES42,2,79467,2034877.0
Cataluña,ES51,4,32114,7566431.0
Centre — Val de Loire,FRB0,0,39554,2567768.0
Centro (PT),PT16,5,28208,2216569.0
Centru,RO16,4,34085,2318272.0
Champagne-Ardenne,FRF2,4,25727,1317548.0
Chemnitz,DED4,5,6542,1436445.0
Cheshire,UKD6,4,2260,931347.0
Ciudad de Ceuta,ES63,1,13,83517.0
Ciudad de Melilla,ES64,2,8,84689.0
Comunidad de Madrid,ES30,1,8001,6641649.0
Comunidad Foral de Navarra,ES22,4,10384,649946.0
Comunitat Valenciana,ES52,3,23289,4974969.0
Cornwall and Isles of Scilly,UKK3,4,3604,568612.0
Corse,FRM0,2,8731,342256.0
Cumbria,UKD1,2,6848,498083.0
Darmstadt,DE71,5,7441,3998724.0
