Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Austria,AT,6,83938.0,9006398.0
Belgium,BE,2,30664.0,11589623.0
Bosnia and Herzegovina,BA,6,51214.0,3280819.0
Bulgaria,BG,6,110994.0,6948445.0
Croatia,HR,3,52430.0,4105267.0
Czech Republic,CZ,1,78873.0,10708981.0
Denmark,DK,5,40373.0,5792202.0
Estonia,EE,6,44910.0,1326535.0
Finland,FI,3,332957.0,5540720.0
France,FR,4,550892.0,65273511.0
Germany,DE,3,355753.0,83783942.0
Greece,EL,4,121426.0,10423054.0
Hungary,HU,1,93009.0,9660351.0
Iceland,IS,4,102617.0,341243.0
Ireland,IE,5,69474.0,4937786.0
Italy,IT,5,299744.0,60461826.0
Latvia,LV,4,64587.0,1886198.0
Liechtenstein,LI,1,159.0,38557.0
Lithuania,LT,5,64801.0,2722289.0
Luxembourg,LU,5,2596.0,625978.0
Malta,MT,2,319.0,493559.0
Netherlands,NL,6,36239.0,17134872.0
North Macedonia,MK,3,25434.0,2083374.0
Norway,NO,2,305538.0,5421241.0
Poland,PL,4,311920.0,37846611.0
Portugal,PT,1,88742.0,10196709.0
Republic of Cyprus,CY,2,9257.0,1207359.0
Republic of Serbia,RS,2,77486.0,8737371.0
Romania,RO,5,238362.0,19237691.0
Slovakia,SK,5,49024.0,5459642.0
Slovenia,SI,4,20272.0,2078938.0
Spain,ES,2,497086.0,46754778.0
Sweden,SE,1,446663.0,10099265.0
Switzerland,CH,2,41296.0,8654622.0
United Kingdom,UK,3,236654.0,67886011.0
