Country,Colour,Population,GDP
Austria,#d95f02,9006398,447718000000
Belgium,#e7298a,11589623,517609000000
Bosnia and Herzegovina,#d95f02,3280819,20106000000
Bulgaria,#d95f02,6948445,66250000000
Croatia,#1b9e77,4105267,60702000000
Czech Republic,#66a61e,10708981,246953000000
Denmark,#e6ab02,5792202,347176000000
Estonia,#d95f02,1326535,31038000000
Finland,#1b9e77,5540720,269654000000
France,#7570b3,65273511,2707070000000
Germany,#1b9e77,83783942,3863340000000
Greece,#7570b3,10423054,214012000000
Hungary,#66a61e,9660351,170407000000
Iceland,#7570b3,341243,23918000000
Ireland,#e6ab02,4937786,384940000000
Italy,#e6ab02,60461826,1988640000000
Latvia,#7570b3,1886198,35045000000
Liechtenstein,#66a61e,38557,6295000000
Lithuania,#e6ab02,2722289,53641000000
Luxembourg,#e6ab02,625978,69453000000
Malta,#e7298a,493559,14859000000
Netherlands,#d95f02,17134872,902355000000
North Macedonia,#1b9e77,2083374,12672000000
Norway,#e7298a,5421241,417627000000
Poland,#7570b3,37846611,565854000000
Portugal,#66a61e,10196709,236408000000
Republic of Cyprus,#e7298a,1207359,24280000000
Republic of Serbia,#e7298a,8737371,51523000000
Romania,#e6ab02,19237691,243698000000
Slovakia,#e6ab02,5459642,106552000000
Slovenia,#7570b3,2078938,54154000000
Spain,#e7298a,46754778,1397870000000
Sweden,#66a61e,10099265,528929000000
Switzerland,#e7298a,8654622,715360000000
United Kingdom,#1b9e77,67886011,2743590000000
