Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Auvergne-Rhone-Alpes,AR,6,69711.0,8026685.0
Bourgogne-Franche-Comte,BF,3,47784.0,2795301.0
Brittany,BT,6,27208.0,3329395.0
Centre-Val de Loire,CN,2,39151.0,2566759.0
Corsica,CE,5,8680.0,339178.0
Grand Est,AO,1,57441.0,5518188.0
Hauts-de-France,NC,4,31806.0,5978266.0
Ile-de-France,IF,5,12012.0,12213364.0
Normandy,ND,3,29907.0,3319067.0
Nouvelle-Aquitaine,AC,1,84036.0,5987014.0
Occitanie,LP,2,72724.0,5892817.0
Pays de la Loire,PL,4,32082.0,3786545.0
Provence-Alpes-Cote d'Azur,PR,4,31400.0,5059473.0
