Region,Colour,Population,GDP
Auvergne-Rhone-Alpes,#d95f02,8026685,284015
Bourgogne-Franche-Comte,#1b9e77,2795301,83439
Brittany,#d95f02,3329395,104960
Centre-Val de Loire,#e7298a,2566759,78982
Corsica,#e6ab02,339178,10129
Grand Est,#66a61e,5518188,170737
Hauts-de-France,#7570b3,5978266,174795
Ile-de-France,#e6ab02,12213364,757907
Normandy,#1b9e77,3319067,102725
Nouvelle-Aquitaine,#66a61e,5987014,187023
Occitanie,#e7298a,5892817,179516
Pays de la Loire,#7570b3,3786545,123731
Provence-Alpes-Cote d'Azur,#7570b3,5059473,172756
