Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Pays de la Loire,PL,3,32413,3510170
Hauts-de-France,NC,5,31949,5931091
Provence-Alpes-Côte d'Azur,PR,0,31675,4882913
Nouvelle-Aquitane,AC,1,84821,5671076
Grand Est,AO,3,57719,5521452
Normandie,ND,1,30112,3293092
Auvergne Rhône-Alpes,AR,5,70902,7459092
Bretagne,BT,4,27412,3149701
Bourgogne Franche-Comté,BF,4,48060,2802519
Centre Val-de-Loire,CN,0,39533,2531588
Occitanie,LP,2,73369,5419946
Ile-de-France,IF,2,12068,11659260
