State,Colour,Population,GDP
Baden-Wuerttemberg,#e7298a,10879618,493265
Bayern,#e6ab02,12843514,594447
Berlin,#e7298a,3520031,136614
Brandenburg,#7570b3,2484826,69132
Bremen,#7570b3,671489,33662
Hamburg,#d95f02,1787408,117572
Hessen,#d95f02,6176172,279085
Mecklenburg-Vorpommern,#66a61e,1612362,42783
Niedersachsen,#1b9e77,7926599,287959
Nordrhein-Westfalen,#7570b3,17865516,691518
Rheinland-Pfalz,#66a61e,4052803,144308
Saarland,#1b9e77,995597,35300
Sachsen,#1b9e77,4084851,121738
Sachsen-Anhalt,#d95f02,2245470,60095
Schleswig-Holstein,#e6ab02,2858714,93367
Thueringen,#e7298a,2170714,61907
