Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Baden-Württemberg,BW,4,36359,10486660
Bayern,BY,3,70713,12397614
Berlin,BE,0,928,3292365
Brandenburg,BB,1,29783,2455780
Bremen,HB,2,413,650863
Hamburg,HH,1,789,1706696
Hessen,HE,1,21300,5971816
Mecklenburg-Vorpommern,MV,3,23145,1609982
Niedersachsen,NI,0,47848,7777992
Nordrhein-Westfalen,NW,2,34983,17538251
Rheinland-Pfalz,RP,0,20635,3989808
Saarland,SL,3,2739,999623
Sachsen-Anhalt,ST,4,20579,2287040
Sachsen,SN,5,18937,4056799
Schleswig-Holstein,SH,5,15748,2800119
Thüringen,TH,2,16225,2188589
