Region/Autonomous Region,Colour,Population,Population (2001) (People)
Attica,#7570b3,3828434,3894573
Central Greece,#e6ab02,547390,558144
Central Macedonia,#7570b3,1880297,1874597
Crete,#e6ab02,623065,594368
East Macedonia and Thrace,#d95f02,608182,607162
Epirus,#7570b3,336856,336392
Ionian Islands,#66a61e,207855,209608
Mount Athos,#e7298a,1811,1961
North Aegean,#66a61e,199231,205235
Peloponnese,#e7298a,577903,597622
South Aegean,#d95f02,309015,298462
Thessaly,#1b9e77,732762,740115
West Greece,#d95f02,679796,721541
West Macedonia,#e7298a,283689,294317
