Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Bacs-Kiskun,BK,1,8445.0,520331.0
Baranya,BA,4,4430.0,386441.0
Bekes,BE,2,5631.0,359948.0
Borsod-Abauj-Zemplen,BZ,5,7247.0,686266.0
Budapest,BU,4,525.0,1733685.0
Csongrad,CS,5,4262.0,417456.0
Fejer,FE,3,4359.0,425847.0
Gyor-Moson-Sopron,GS,4,4208.0,447985.0
Hajdu-Bihar,HB,1,6211.0,546721.0
Heves,HE,2,3637.0,308882.0
Jasz-Nagykun-Szolnok,JN,4,5582.0,386594.0
Komarom-Esztergom,KE,5,2265.0,304568.0
Nograd,NO,3,2544.0,202427.0
Pest,PE,6,6393.0,1217476.0
Somogy,SO,1,6065.0,317307.0
Szabolcs-Szatmar-Bereg,SZ,3,5936.0,559272.0
Tolna,TO,5,3703.0,230361.0
Vas,VA,1,3336.0,256629.0
Veszprem,VE,2,4463.0,351898.0
Zala,ZA,4,3784.0,282179.0
