Region,Colour,Population,GDP
Bacs-Kiskun,#66a61e,520331,10359000
Baranya,#7570b3,386441,6345000
Bekes,#e7298a,359948,5532000
Borsod-Abauj-Zemplen,#e6ab02,686266,12371000
Budapest,#7570b3,1733685,94699000
Csongrad,#e6ab02,417456,8071000
Fejer,#1b9e77,425847,11615000
Gyor-Moson-Sopron,#7570b3,447985,16543000
Hajdu-Bihar,#66a61e,546721,9974000
Heves,#e7298a,308882,5739000
Jasz-Nagykun-Szolnok,#7570b3,386594,6532000
Komarom-Esztergom,#e6ab02,304568,8260000
Nograd,#1b9e77,202427,2240000
Pest,#d95f02,1217476,26688000
Somogy,#66a61e,317307,5055000
Szabolcs-Szatmar-Bereg,#1b9e77,559272,8502000
Tolna,#e6ab02,230361,4378000
Vas,#66a61e,256629,6691000
Veszprem,#e7298a,351898,6924000
Zala,#7570b3,282179,5523000
