Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Andaman and Nicobar Islands,AN,1,8249.0,379944.0
Andhra Pradesh,AP,3,160218.0,49386799.0
Arunachal Pradesh,AR,5,83743.0,1382611.0
Assam,AS,6,78438.0,31169272.0
Bihar,BR,5,99200.0,103804637.0
Chandigarh,CH,3,114.0,1055450.0
Chhattisgarh,CT,2,135194.0,25540196.0
Dadra and Nagar Haveli,DN,2,491.0,342853.0
Daman and Diu,DD,3,112.0,242911.0
Delhi,DL,6,1483.0,18980000.0
Goa,GA,1,3702.0,1457723.0
Gujarat,GJ,6,196024.0,60383628.0
Haryana,HR,1,44212.0,25353081.0
Himachal Pradesh,HP,4,55673.0,6864602.0
Jammu and Kashmir,JK,5,222236.0,12548926.0
Jharkhand,JH,1,74677.0,32966238.0
Karnataka,KA,5,191791.0,61130704.0
Kerala,KL,3,38863.0,33387677.0
Madhya Pradesh,MP,5,308252.0,72597565.0
Maharashtra,MH,4,307690.0,112372972.0
Manipur,MN,4,22327.0,2721756.0
Meghalaya,ML,4,22429.0,2964007.0
Mizoram,MZ,2,21081.0,1091014.0
Nagaland,NL,1,16579.0,1980602.0
Odisha,OD,6,155707.0,41947358.0
Puducherry,PY,6,492.0,1244464.0
Punjab,PB,2,50362.0,27704236.0
Rajasthan,RJ,4,342239.0,68621012.0
Sikkim,SK,2,7096.0,607688.0
Tamil Nadu,TN,2,130058.0,72138958.0
Telangana,TG,1,114850.0,35286757.0
Tripura,TR,4,10486.0,3671032.0
Uttar Pradesh,UP,3,243286.0,207281477.0
Uttarakhand,UK,6,51125.0,10116752.0
West Bengal,WB,3,88752.0,91347736.0
