State,Colour,Population,GDP
Andaman and Nicobar Islands,#66a61e,379944,1.204
Andhra Pradesh,#1b9e77,49386799,90.84
Arunachal Pradesh,#e6ab02,1382611,2.651
Assam,#d95f02,31169272,31.206
Bihar,#e6ab02,103804637,67.254
Chandigarh,#1b9e77,1055450,5.69
Chhattisgarh,#e7298a,25540196,36.337
Dadra and Nagar Haveli,#e7298a,342853,0.36
Daman and Diu,#1b9e77,242911,0.16
Delhi,#d95f02,18980000,76.542
Goa,#66a61e,1457723,9.569
Gujarat,#d95f02,60383628,149.833
Haryana,#66a61e,25353081,76.11
Himachal Pradesh,#7570b3,6864602,16.162
Jammu and Kashmir,#e6ab02,12548926,17.137
Jharkhand,#66a61e,32966238,33.811
Karnataka,#e6ab02,61130704,120.277
Kerala,#1b9e77,33387677,77.551
Madhya Pradesh,#e6ab02,72597565,85.076
Maharashtra,#7570b3,112372972,295.529
Manipur,#7570b3,2721756,2.803
Meghalaya,#7570b3,2964007,4.29
Mizoram,#e7298a,1091014,2.015
Nagaland,#66a61e,1980602,3.473
Odisha,#d95f02,41947358,53.421
Puducherry,#d95f02,1244464,4.125
Punjab,#e7298a,27704236,62.145
Rajasthan,#7570b3,68621012,101.296
Sikkim,#e7298a,607688,2.422
Tamil Nadu,#e7298a,72138958,167.172
Telangana,#66a61e,35286757,76.665
Tripura,#7570b3,3671032,5.247
Uttar Pradesh,#1b9e77,207281477,168.837
Uttarakhand,#d95f02,10116752,24.051
West Bengal,#1b9e77,91347736,138.272
