Province,Colour,Population,GDP (Billion $)
Aceh,#e7298a,4486570,36.4
Bali,#e7298a,3891428,54.7
Bangka Belitung,#7570b3,1223048,17
Banten,#d95f02,10644030,143.4
Bengkulu,#1b9e77,1713393,15.5
Gorontalo,#e7298a,50380687,8.8
Jakarta Raya,#e6ab02,2202599,606.1
Jambi,#d95f02,2633420,48.6
Jawa Barat,#7570b3,37476011,457.6
Jawa Tengah,#d95f02,3550586,295.9
Jawa Timur,#e6ab02,4679316,510.7
Kalimantan Barat,#66a61e,1038585,45.3
Kalimantan Selatan,#d95f02,9588198,40.1
Kalimantan Tengah,#1b9e77,3088618,32.4
Kalimantan Timur,#e6ab02,7596115,148.8
Kepulauan Riau,#d95f02,1531402,58.1
Lampung,#7570b3,1035478,77.8
Maluku,#7570b3,2265937,10
Maluku Utara,#e6ab02,12985075,8.5
Nusa Tenggara Barat,#66a61e,2851999,28.9
Nusa Tenggara Timur,#1b9e77,5543031,23.1
Papua,#66a61e,1685698,49.1
Papua Barat,#e7298a,3626119,18.6
Riau,#e6ab02,8032551,176.1
Sulawesi Barat,#1b9e77,7446401,10.1
Sulawesi Selatan,#66a61e,2230569,107.8
Sulawesi Tengah,#7570b3,43021826,35.1
Sulawesi Tenggara,#1b9e77,4393239,27.5
Sulawesi Utara,#d95f02,4496855,27.9
Sumatera Barat,#e7298a,760855,53.8
Sumatera Selatan,#e7298a,1158336,97.9
Sumatera Utara,#66a61e,4845998,20.1
Yogyakarta,#1b9e77,3452390,30.3
