Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Aceh,AC,1,56266,5554.8
Bali,BA,4,5468,4433.3
Banten,BT,4,9172,12431.4
Bengkulu,BE,1,20083,2112.2
Daerah Istimewa Yogyakarta,YO,5,3182,3759.5
DKI Jakarta,JK,3,646,10684.9
Gorontalo,GO,4,11949,1227.8
Jambi,JA,2,48942,3724.3
Jawa Barat,JR,2,37108,50345.2
Jawa Tengah,JT,1,34189,37892.3
Jawa Timur,JI,0,47399,41814.5
Kalimantan Barat,KB,5,146221,5695.5
Kalimantan Selatan,KS,4,37043,4273.4
Kalimantan Tengah,KT,3,153402,2809.7
Kalimantan Timur,KM,2,125370,4045.9
Kalimantan Utara,KU,0,69555,739.8
Kepulauan Bangka Belitung,BB,0,16358,1531.5
Kepulauan Riau,KR,2,5454,2183.3
Lampung,LA,0,33414,9419.6
Maluku,MA,1,42475,1945.6
Maluku Utara,MU,1,29621,1355.6
Nusa Tenggara Barat,NB,3,19524,5646.0
Nusa Tenggara Timur,NT,5,45220,5656.0
Papua,PA,3,80485,1060.6
Papua Barat,IB,4,57935,578.7
Papua Barat Daya,PD,5,38075,627.1
Papua Pegunungan,PP,1,54162,1467.0
Papua Selatan,PS,2,116919,542.1
Papua Tengah,PT,0,61021,1472.9
Riau,RI,3,89349,6728.1
Sulawesi Barat,SR,2,16536,1503.2
Sulawesi Selatan,SE,1,44542,9463.4
Sulawesi Tengah,ST,0,60422,3121.8
Sulawesi Tenggara,SG,3,35255,2793.1
Sulawesi Utara,SW,5,13706,2701.8
Sumatera Barat,SB,0,41945,5836.2
Sumatera Selatan,SL,4,86811,8837.3
Sumatera Utara,SU,5,72144,15588.5
