Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Carlow,CW,6,897.0,56932.0
Cavan,CN,6,1932.0,76176.0
Clare,CE,5,3450.0,118817.0
Cork,CK,1,7500.0,542868.0
Donegal,DL,4,4861.0,159192.0
Dublin,DN,6,922.0,1347359.0
Galway,GY,4,6149.0,258058.0
Kerry,KY,3,4807.0,147707.0
Kildare,KE,5,1695.0,222504.0
Kilkenny,KK,4,2073.0,99232.0
Laoighis,LS,1,1720.0,84697.0
Leitrim,LM,5,1590.0,32044.0
Limerick,LK,6,2756.0,194899.0
Longford,LD,1,1091.0,40873.0
Louth,LH,5,826.0,128884.0
Mayo,MO,1,5586.0,130507.0
Meath,MH,4,2342.0,195044.0
Monaghan,MN,1,1295.0,61386.0
Offaly,OY,6,2001.0,77961.0
Roscommon,RN,3,2548.0,64544.0
Sligo,SO,2,1838.0,65535.0
Tipperary,TY,2,4305.0,159553.0
Waterford,WD,3,1857.0,116176.0
Westmeath,WH,2,1840.0,88770.0
Wexford,WX,5,2367.0,149722.0
Wicklow,WW,2,2027.0,142425.0
