Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Abruzzo,ABR,2,10832.0,1311580.0
Apulia,APU,1,19353.0,4029053.0
Basilicata,BAS,3,10020.0,562869.0
Calabria,CAL,5,15126.0,1947131.0
Campania,CAM,6,13621.0,5801692.0
Emilia-Romagna,EMI,6,22203.0,4459477.0
Friuli-Venezia Giulia,FRI,3,7732.0,1215220.0
Lazio,LAZ,3,17325.0,5879082.0
Liguria,LIG,5,5425.0,1550640.0
Lombardia,LOM,4,23887.0,10060574.0
Marche,MAR,4,9697.0,1525271.0
Molise,MOL,4,4450.0,305617.0
Piemonte,PIE,1,25249.0,4356406.0
Sardegna,SAR,4,24092.0,1639591.0
Sicily,SIC,6,25632.0,4999891.0
Toscana,TOS,2,23010.0,3729641.0
Trentino-Alto Adige,TRE,1,13637.0,1072276.0
Umbria,UMB,6,8432.0,882015.0
Valle d'Aosta,VAL,5,3250.0,125666.0
Veneto,VEN,5,17963.0,4905854.0
