Region,Colour,Population,GDP
Abruzzo,#e7298a,1311580,31959
Apulia,#66a61e,4029053,72406
Basilicata,#1b9e77,562869,11782
Calabria,#e6ab02,1947131,33054
Campania,#d95f02,5801692,106753
Emilia-Romagna,#d95f02,4459477,153997
Friuli-Venezia Giulia,#1b9e77,1215220,36935
Lazio,#1b9e77,5879082,185935
Liguria,#e6ab02,1550640,48287
Lombardia,#7570b3,10060574,366541
Marche,#7570b3,1525271,40988
Molise,#7570b3,305617,6233
Piemonte,#66a61e,4356406,129322
Sardegna,#7570b3,1639591,33556
Sicily,#d95f02,4999891,86998
Toscana,#e7298a,3729641,112239
Trentino-Alto Adige,#66a61e,1072276,41104
Umbria,#d95f02,882015,21341
Valle d'Aosta,#e6ab02,125666,4436
Veneto,#e6ab02,4905854,155515
