Parish,Colour,Population,Population (2001) (People)
Clarendon,#d95f02,247702,237024
Hanover,#66a61e,70265,67037
Kingston,#7570b3,89883,96052
Manchester,#e7298a,191881,185801
Portland,#e6ab02,82643,80205
Saint Andrew,#d95f02,579890,555828
Saint Ann,#7570b3,174203,166762
Saint Catherine,#e7298a,521249,482308
Saint Elizabeth,#66a61e,151839,146404
Saint James,#e6ab02,185697,175127
Saint Mary,#1b9e77,114867,111466
Saint Thomas,#1b9e77,94939,91604
Trelawny,#1b9e77,75981,73066
Westmoreland,#7570b3,145628,138947
