Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Aichi,AI,2,5165.0,7416336.0
Akita,AK,4,11636.0,1074858.0
Aomori,AO,6,9645.0,1362820.0
Chiba,CH,6,5157.0,6214148.0
Ehime,EH,3,5678.0,1423406.0
Fukui,FI,1,4190.0,802906.0
Fukuoka,FO,1,4979.0,5079291.0
Fukushima,FS,3,13783.0,1989834.0
Gifu,GF,4,10621.0,2070908.0
Gunma,GM,6,6362.0,2000514.0
Hiroshima,HS,4,8480.0,2855045.0
Hokkaido,HK,3,83457.0,5485952.0
Hyogo,HG,2,8396.0,5581968.0
Ibaraki,IB,4,6096.0,2957706.0
Ishikawa,IS,5,4186.0,1166309.0
Iwate,IW,5,15279.0,1314076.0
Kagawa,KG,5,1877.0,991947.0
Kagoshima,KS,5,9189.0,1698695.0
Kanagawa,KN,4,2416.0,9058094.0
Kochi,KC,6,7105.0,758469.0
Kumamoto,KM,6,7405.0,1812575.0
Kyoto,KY,2,4613.0,2631671.0
Mie,ME,1,5777.0,1847223.0
Miyagi,MG,2,7286.0,2326735.0
Miyazaki,MZ,1,7736.0,1130983.0
Nagano,NN,1,13562.0,2142167.0
Nagasaki,NS,1,4105.0,1417423.0
Nara,NR,3,3691.0,1395845.0
Niigata,NI,2,12584.0,2362158.0
Oita,OT,4,6340.0,1191430.0
Okayama,OY,2,7113.0,1940559.0
Okinawa,ON,2,2276.0,1401066.0
Osaka,OS,6,1899.0,8861012.0
Saga,SG,3,2440.0,846787.0
Saitama,ST,2,3798.0,7207139.0
Shiga,SH,5,4017.0,1413513.0
Shimane,SM,6,6708.0,712292.0
Shizuoka,SZ,3,7781.0,3749274.0
Tochigi,TC,5,6408.0,2000010.0
Tokushima,TS,1,4147.0,780236.0
Tokyo,TK,1,2189.0,13195974.0
Tottori,TT,3,3507.0,585494.0
Toyama,TY,6,4248.0,1087745.0
Wakayama,WK,4,4726.0,995010.0
Yamagata,YT,1,9323.0,1161214.0
Yamaguchi,YC,2,6114.0,1442428.0
Yamanashi,YN,5,4465.0,857459.0
