Prefectures,Colour,Population,GDP
Aichi,#e7298a,7416336,349244
Akita,#7570b3,1074858,33561
Aomori,#d95f02,1362820,42968
Chiba,#d95f02,6214148,194513
Ehime,#1b9e77,1423406,46156
Fukui,#66a61e,802906,30373
Fukuoka,#66a61e,5079291,175757
Fukushima,#1b9e77,1989834,71807
Gifu,#7570b3,2070908,69953
Gunma,#d95f02,2000514,77684
Hiroshima,#7570b3,2855045,109051
Hokkaido,#1b9e77,5485952,179372
Hyogo,#e7298a,5581968,192020
Ibaraki,#7570b3,2957706,112685
Ishikawa,#e6ab02,1166309,44522
Iwate,#e6ab02,1314076,45094
Kagawa,#e6ab02,991947,35635
Kagoshima,#e6ab02,1698695,51725
Kanagawa,#7570b3,9058094,294240
Kochi,#d95f02,758469,22799
Kumamoto,#d95f02,1812575,54341
Kyoto,#e7298a,2631671,97560
Mie,#66a61e,1847223,74296
Miyagi,#e7298a,2326735,86324
Miyazaki,#66a61e,1130983,35355
Nagano,#66a61e,2142167,76534
Nagasaki,#66a61e,1417423,41827
Nara,#1b9e77,1395845,34359
Niigata,#e7298a,2362158,84414
Oita,#7570b3,1191430,40200
Okayama,#e7298a,1940559,70289
Okinawa,#e7298a,1401066,39311
Osaka,#d95f02,8861012,368105
Saga,#1b9e77,846787,26562
Saitama,#e7298a,7207139,202950
Shiga,#e6ab02,1413513,56727
Shimane,#d95f02,712292,23117
Shizuoka,#1b9e77,3749274,149852
Tochigi,#e6ab02,2000010,79406
Tokushima,#66a61e,780236,29231
Tokyo,#66a61e,13195974,920914
Tottori,#1b9e77,585494,17265
Toyama,#d95f02,1087745,43207
Wakayama,#7570b3,995010,34730
Yamagata,#66a61e,1161214,36434
Yamaguchi,#e7298a,1442428,57923
Yamanashi,#e6ab02,857459,30263
