Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Aichi Prefecture,AI,2,5171,7542415
Akita,AK,1,11640,959502
Aomori,AO,4,9637,1237984
Chiba,CH,1,5162,6284480
Ehime Prefecture,EH,0,5651,1334841
Fukui Prefecture,FI,3,4189,766863
Fukuoka Prefecture,FO,0,4983,5135214
Fukushima,FS,0,13778,1833152
Gifu Prefecture,GF,1,10621,1978742
Gunma,GM,1,6361,1939110
Hiroshima,HS,1,8461,2799702
Hokkaido,HK,4,78412,5224614
Hyogo Prefecture,HG,3,8390,5465002
Ibaraki,IB,4,6097,2867009
Ishikawa Prefecture,IS,5,4184,1132526
Iwate,IW,2,15274,1210534
Kagawa Prefecture,KG,2,1859,950244
Kagoshima Prefecture,KS,2,9166,1588256
Kanagawa,KN,2,2421,9237337
Kochi Prefecture,KC,1,7095,691527
Kumamoto,KM,4,7399,1738301
Kyoto Prefecture,KY,2,4598,2578087
Mie Prefecture,ME,3,5779,1770254
Miyagi,MG,3,7276,2301996
Miyazaki Prefecture,MZ,1,7734,1069576
Nagano,NN,0,13555,2048011
Nagasaki Prefecture,NS,4,4076,1312317
Nara Prefecture,NR,4,3691,1324473
Niigata,NI,5,12578,2201272
Oita,OT,5,6332,1123852
Okayama Prefecture,OY,0,7105,1888432
Okinawa Prefecture,ON,3,2247,1467480
Osaka Prefecture,OS,5,1913,8837685
Saga Prefecture,SG,3,2443,811442
Saitama,ST,2,3797,7344765
Shiga,SH,0,4017,1413610
Shimane,SM,2,6702,671126
Shizuoka,SZ,1,7772,3633202
Tochigi,TC,3,6408,1933146
Tokushima Prefecture,TS,5,4142,719559
Tokyo,TK,0,2183,14047594
Tottori Prefecture,TT,5,3508,553407
Toyama,TY,4,4254,1034814
Wakayama Prefecture,WK,0,4718,922584
Yamagata,YT,4,9327,1068027
Yamaguchi,YC,3,6089,1342059
Yamanashi,YN,5,4471,809974
