Region,Colour,Population,GDP
Almaty,#e7298a,3837027,42324642424
Akmola,#7570b3,1770355,21622083333
Aktobe,#66a61e,857711,6858852121
Atyrau,#e7298a,631841,17578702121
East Kazakhstan,#e6ab02,1379739,9379434545
Mangystau,#1b9e77,660317,9922873636
North Kazakhstan,#1b9e77,558584,3290675455
Pavlodar,#d95f02,754854,7089834848
Karagandy,#1b9e77,1379061,12771006061
Kostanay,#e6ab02,875616,5415280606
Kyzylorda,#7570b3,783156,4304542424
Turkistan Region,#d95f02,2987881,15609577273
West Kazakhstan,#7570b3,646927,6924403333
Zhambyl,#66a61e,1117220,4002129697
