Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Al Butnan,BN,3,21887.11,164510.0
Al Jabal al Akhdar,JK,3,95909.81,209978.0
Al Jabal al Gharbi,JG,3,10096.24,307616.0
Al Jifarah,JR,6,99663.66,443768.0
Al Jufrah,JF,4,2021.75,42711.0
Al Kufrah,KU,5,126261.42,35315.0
Al Marj,MA,4,472207.84,190001.0
Al Marqab,MR,4,11882.23,448260.0
Al Wahat,AW,6,9828.05,165184.0
An Nuqat al Khams,NK,6,222470.56,292440.0
Az Zawiyah,ZW,1,7502.2,300894.0
Benghazi,BG,2,3847.06,562067.0
Darnah,DA,1,18166.32,164440.0
Ghat,GH,6,58245.75,23929.0
Misratah, MS,5,33100.02,502613.0
Murzuq,MU,1,295577.22,81791.0
Nalut,NT,4,78573.15,97333.0
Sabha,SA,5,19324.9,116016.0
Surt,ST,2,91249.53,117473.0
Tripoli,TR,2,2890.28,940653.0
Wadi al Hayat,WH,3,37285.29,73872.0
Wadi ash Shati',WS,2,106421.5,82505.0
