District,Colour,Population,Population (2006) (People)
Al Butnan,#1b9e77,164510,157747
Al Jabal al Akhdar,#1b9e77,209978,206180
Al Jabal al Gharbi,#1b9e77,307616,302705
Al Jifarah,#d95f02,443768,451175
Al Jufrah,#7570b3,42711,52092
Al Kufrah,#e6ab02,35315,48328
Al Marj,#7570b3,190001,184531
Al Marqab,#7570b3,448260,427886
Al Wahat,#d95f02,165184,179155
An Nuqat al Khams,#d95f02,292440,287359
Az Zawiyah,#66a61e,300894,290637
Benghazi,#e7298a,562067,674951
Darnah,#66a61e,164440,162857
Ghat,#d95f02,23929,23199
Misratah,#e6ab02,502613,543129
Murzuq,#66a61e,81791,78772
Nalut,#7570b3,97333,93896
Sabha,#e6ab02,116016,133206
Surt,#e7298a,117473,141495
Tripoli,#e7298a,940653,1063571
Wadi al Hayat,#1b9e77,73872,76258
Wadi ash Shati',#e7298a,82505,78563
