Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Johor,JH,5,19090.0,3768200.0
Kedah,KH,5,9487.0,2185000.0
Kelantan,KN,6,15129.0,1892000.0
Kuala Lumpur,KL,1,272.0,1778400.0
Labuan,LA,2,89.0,99400.0
Melaka,ME,4,1652.0,932700.0
Negeri Sembilan,NS,2,6668.0,1132100.0
Pahang,PH,3,35854.0,1677100.0
Perak,PK,4,20916.0,2514300.0
Perlis,PL,6,824.0,254600.0
Pulau Pinang,PG,2,1050.0,1777600.0
Putrajaya,PJ,4,62.0,105400.0
Sabah,SA,5,73727.0,3904700.0
Sarawak,SK,1,124189.0,2818100.0
Selangor,SL,6,8155.0,6541900.0
Terengganu,TE,2,12880.0,1250100.0
