State/Federal Territory,Colour,Population,GDP
Johor,#e6ab02,3768200,28139474430
Kedah,#e6ab02,2185000,9790537320
Kelantan,#d95f02,1892000,5551733400
Kuala Lumpur,#66a61e,1778400,45840387750
Labuan,#e7298a,99400,1443161280
Melaka,#7570b3,932700,8989370580
Negeri Sembilan,#e7298a,1132100,10222955130
Pahang,#1b9e77,1677100,12649848840
Perak,#7570b3,2514300,16310085930
Perlis,#d95f02,254600,1360681140
Pulau Pinang,#e7298a,1777600,19603262280
Putrajaya,#7570b3,105400,NA
Sabah,#e6ab02,3904700,19333875390
Sarawak,#66a61e,2818100,29281414380
Selangor,#d95f02,6541900,67695936660
Terengganu,#e7298a,1250100,7782555900
