Region,RegionLabel,ColorGroup,Inset,Geographic Area (sq. km),Population (people)
Johor,JH,5,C,19172,4009670
Kedah,KH,3,C,9474,2131427
Kelantan,KN,4,C,14866,1792501
Kuala Lumpur,KL,2,C,242,1982112
Labuan,LA,3,R,95,95120
Malacca,ME,0,C,1666,998428
Negeri Sembilan,NS,3,C,6661,1199974
Pahang,PH,0,C,36130,1591295
Penang,PG,4,C,1053,1740405
Perak,PK,2,C,20818,2496041
Perlis,PL,0,C,821,284885
Putrajaya,PJ,5,C,48,109202
Sabah,SA,1,R,74044,3418785
Sarawak,SK,2,R,123770,2453677
Selangor,SL,1,C,7937,6994423
Terengganu,TE,1,C,12861,1149440
