Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Aguascalientes,AG,1,5190.0,1342.6
Baja California,BN,2,73040.0,3648.1
Baja California Sur,BS,3,70574.0,839.7
Campeche,CM,1,57302.0,952.3
Chiapas,CP,3,73835.0,5463.3
Chihuahua,CH,3,239990.0,3826.9
Coahuila,CA,4,154311.0,3073.5
Colima,CL,6,5582.0,763.3
Durango,DU,1,124132.0,1820.7
Guanajuato,GJ,2,30875.0,5965.0
Guerrero,GR,2,65032.0,3629.0
Hidalgo,HI,6,22414.0,2990.3
Jalisco,JA,3,76108.0,8222.7
Mexico City,DF,4,1588.0,8781.3
Mexico State,EM,3,23237.0,17666.8
Michoacan,MC,5,59180.0,4695.3
Morelos,MR,6,5111.0,1994.1
Nayarit,NA,4,27031.0,1296.9
Nuevo Leon,NL,3,64984.0,5321.3
Oaxaca,OA,5,91033.0,4091.4
Puebla,PU,4,33651.0,6388.1
Queretaro,QE,4,11498.0,2100.0
Quintana Roo,QR,6,43968.0,1722.6
San Luis Potosi,SL,1,62940.0,2831.9
Sinaloa,SI,5,54142.0,3066.4
Sonora,SO,1,184682.0,3062.0
Tabasco,TB,6,23824.0,2460.9
Tamaulipas,TM,5,79410.0,3672.3
Tlaxcala,TL,2,4176.0,1334.8
Veracruz,VE,2,68619.0,8236.7
Yucatan,YU,5,37968.0,2207.2
Zacatecas,ZA,6,75861.0,1615.0
