State,Colour,Population,GDP
Aguascalientes,#66a61e,1342.6,12305000000
Baja California,#e7298a,3648.1,28767000000
Baja California Sur,#1b9e77,839.7,7360000000
Campeche,#66a61e,952.3,45938000000
Chiapas,#1b9e77,5463.3,17651000000
Chihuahua,#1b9e77,3826.9,28784000000
Coahuila,#7570b3,3073.5,34159000000
Colima,#d95f02,763.3,6004000000
Mexico City,#7570b3,8781.3,169636000000
Durango,#66a61e,1820.7,11959000000
Guanajuato,#e7298a,5965,41933000000
Guerrero,#e7298a,3629,14783000000
Hidalgo,#d95f02,2990.3,16282000000
Jalisco,#1b9e77,8222.7,63965000000
Mexico State,#1b9e77,17666.8,90987000000
Michoacan,#e6ab02,4695.3,23947000000
Morelos,#d95f02,1994.1,11731000000
Nayarit,#7570b3,1296.9,6617000000
Nuevo Leon,#1b9e77,5321.3,75187000000
Oaxaca,#e6ab02,4091.4,15721000000
Puebla,#7570b3,6388.1,31963000000
Queretaro,#7570b3,2100,22022000000
Quintana Roo,#d95f02,1722.6,16075000000
San Luis Potosi,#66a61e,2831.9,19408000000
Sinaloa,#e6ab02,3066.4,20803000000
Sonora,#66a61e,3062,29870000000
Tabasco,#d95f02,2460.9,32722000000
Tamaulipas,#e6ab02,3672.3,31144000000
Tlaxcala,#e7298a,1334.8,5469000000
Veracruz,#e7298a,8236.7,50817000000
Yucatan,#e6ab02,2207.2,14706000000
Zacatecas,#d95f02,1615,9491000000
