Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Arhangay,AR,6,55300.0,95994.0
Bayan-Olgii,BO,6,45700.0,103765.0
Bayankhongor,BH,4,116000.0,88359.0
Bulgan,BU,5,48700.0,61794.0
Darkhan-Uul,DA,1,3280.0,104238.0
Dornod,DD,2,123600.0,82295.0
Dornogovi,DG,5,109500.0,69560.0
Dundgovi,DU,3,74700.0,46820.0
Govi-Altai,GA,5,141400.0,58280.0
Govisumber,GS,2,5540.0,17489.0
Khentii,HN,1,80300.0,77664.0
Khovd,HD,1,76100.0,88447.0
Khovsgol,HG,3,100600.0,134371.0
Omnogovi,OG,6,165400.0,69124.0
Orkhon,ER,6,840.0,103217.0
Ovorkhangai,OH,1,62900.0,116645.0
Selenge,SL,2,41200.0,109255.0
Sukhbaatar,SB,3,82300.0,62611.0
Tov,TO,4,74000.0,95045.0
Ulaanbaatar,UB,5,4700.0,1444669.0
Uvs,UV,4,69600.0,83617.0
Zavkhan,DZ,2,82500.0,73088.0
