Province,Colour,Population,Population (1979) (People)
Arhangay,#d95f02,95994,78000
Bayan-Olgii,#d95f02,103765,71000
Bayankhongor,#7570b3,88359,63000
Bulgan,#e6ab02,61794,42000
Darkhan-Uul,#66a61e,104238,51000
Dornod,#e7298a,82295,59000
Dornogovi,#e6ab02,69560,42000
Dundgovi,#1b9e77,46820,39000
Zavkhan,#e7298a,73088,80000
Govi-Altai,#e6ab02,58280,56000
Govisumber,#e7298a,17489,NA
Khentii,#66a61e,77664,53000
Khovd,#66a61e,88447,63000
Khovsgol,#1b9e77,134371,88000
Omnogovi,#d95f02,69124,33000
Orkhon,#d95f02,103217,32000
Ovorkhangai,#66a61e,116645,83000
Selenge,#e7298a,109255,65000
Sukhbaatar,#1b9e77,62611,43000
Tov,#7570b3,95045,80000
Ulaanbaatar,#e6ab02,1444669,403000
Uvs,#7570b3,83617,72000
