Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Ayeyarwady,AY,2,35137.34,6272913.0
Bago,BA,3,39404.441,4934428.0
Chin,CH,3,36018.887,516752.0
Kachin,KC,1,89041.841,1881362.0
Kayah,KH,6,11731.525,320216.0
Kayin,KN,1,30382.781,1605697.0
Magway,MG,2,44820.6,3937278.0
Mandalay,MD,6,37023.2,6477740.0
Mon,MO,4,12296.645,1995068.0
Naypyitaw,NY,4,,1269188.0
Rakhine,RA,6,36778.072,3325116.0
Sagaing,SA,4,94624.543,5550389.0
Shan,SH,5,155801.43,6332188.0
Tanintharyi,TN,2,43344.925,1479086.0
Yangon,YA,5,10171.263,8203832.0
