State/Region,Colour,Population,Population (1983) (People)
Ayeyarwady,#e7298a,6272913,4994061
Bago,#1b9e77,4934428,3799791
Chin,#1b9e77,516752,368949
Kachin,#66a61e,1881362,904794
Kayah,#d95f02,320216,168429
Kayin,#66a61e,1605697,1055359
Magway,#e7298a,3937278,3243166
Mandalay,#d95f02,6477740,4577762
Mon,#7570b3,1995068,1680157
Naypyitaw,#7570b3,1269188,NA
Rakhine,#d95f02,3325116,2045559
Sagaing,#7570b3,5550389,3862172
Shan,#e6ab02,6332188,3716841
Tanintharyi,#e7298a,1479086,917247
Yangon,#e6ab02,8203832,3965916
