Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Auckland,AU,5,4809.0,1590261.0
Bay of Plenty,BP,6,12226.0,313380.0
Canterbury,CA,5,48226.0,614628.0
Gisborne,GI,3,8389.0,47565.0
Hawke's Bay,HB,2,12815.0,170448.0
Manawatu-Wanganui,MW,4,21997.0,241182.0
Marlborough,MA,3,10368.0,50562.0
Nelson,NE,2,426.0,53082.0
Northland,NO,4,13012.0,181047.0
Otago,OT,4,28975.0,239313.0
Southland,SO,2,31724.0,101571.0
Taranaki,TK,6,7932.0,118215.0
Tasman,TS,4,9625.0,55206.0
Waikato,WK,3,25542.0,466110.0
Wellington,WG,1,8047.0,514752.0
West Coast,WC,6,23382.0,35202.0
