Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Abia,AB,2,6320.0,2845380.0
Adamawa,AD,2,36917.0,3178950.0
Akwa Ibom,AK,6,7081.0,3178950.0
Anambra,AN,1,4844.0,4177828.0
Bauchi,BA,3,45837.0,4653066.0
Bayelsa,BY,2,10773.0,1704515.0
Benue,BE,2,34059.0,4253641.0
Borno,BO,3,70898.0,4171104.0
Cross River,CR,1,20156.0,2892988.0
Delta,DE,3,17698.0,4112445.0
Ebonyi,EB,4,5670.0,2176947.0
Edo,ED,2,17802.0,3233366.0
Ekiti,EK,6,6353.0,2398957.0
Enugu,EN,5,7161.0,3267837.0
Federal Capital Territory,FC,6,7315.0,1405201.0
Gombe,GO,5,18768.0,2365040.0
Imo,IM,6,5530.0,3927563.0
Jigawa,JI,5,23154.0,4361002.0
Kaduna,KD,5,46053.0,6113503.0
Kano,KN,6,20131.0,9401288.0
Katsina,KT,1,24192.0,5801584.0
Kebbi,KE,6,36800.0,3256541.0
Kogi,KO,4,29833.0,3314043.0
Kwara,KW,3,36825.0,2365353.0
Lagos,LA,4,3345.0,9113605.0
Nassarawa,NA,1,27117.0,1869377.0
Niger,NI,2,76363.0,3954772.0
Ogun,OG,1,16762.0,3751140.0
Ondo,ON,5,15500.0,3460877.0
Osun,OS,4,9251.0,3416959.0
Oyo,OY,2,28454.0,5580894.0
Plateau,PL,2,30913.0,3206531.0
Rivers,RI,5,11077.0,5198605.0
Sokoto,SO,5,25973.0,3702676.0
Taraba,TA,6,54473.0,2294800.0
Yobe,YO,4,45502.0,2321339.0
Zamfara,ZA,3,39762.0,3278873.0
