Region,Colour,Population,GDP
Abia,#e7298a,2845380,8687
Adamawa,#e7298a,3178950,4582
Akwa Ibom,#d95f02,3178950,11179
Anambra,#66a61e,4177828,6764
Bauchi,#1b9e77,4653066,4713
Bayelsa,#e7298a,1704515,4337
Benue,#e7298a,4253641,6864
Borno,#1b9e77,4171104,5175
Cross River,#66a61e,2892988,9292
Delta,#1b9e77,4112445,16749
Ebonyi,#7570b3,2176947,2732
Edo,#e7298a,3233366,11888
Ekiti,#d95f02,2398957,2848
Enugu,#e6ab02,3267837,4396
Federal Capital Territory,#d95f02,1405201,NA
Gombe,#e6ab02,2365040,2501
Imo,#d95f02,3927563,14212
Jigawa,#e6ab02,4361002,2988
Kaduna,#e6ab02,6113503,10334
Kano,#d95f02,9401288,12393
Katsina,#66a61e,5801584,6022
Kebbi,#d95f02,3256541,3290
Kogi,#7570b3,3314043,4642
Kwara,#1b9e77,2365353,3841
Lagos,#7570b3,9113605,33679
Nassarawa,#66a61e,1869377,3022
Niger,#e7298a,3954772,6002
Ogun,#66a61e,3751140,10470
Ondo,#e6ab02,3460877,8414
Osun,#7570b3,3416959,7280
Oyo,#e7298a,5580894,16121
Plateau,#e7298a,3206531,5154
Rivers,#e6ab02,5198605,21073
Sokoto,#e6ab02,3702676,4818
Taraba,#d95f02,2294800,3397
Yobe,#7570b3,2321339,2011
Zamfara,#1b9e77,3278873,4123
