Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Alto Paraguay,AG,6,82349.0,17900.0
Alto Parana,AA,4,14895.0,819600.0
Amambay,AM,4,12933.0,169600.0
Asuncion,AS,1,117.0,522300.0
Boqueron,BQ,5,91669.0,65600.0
Caaguazu,CG,6,11474.0,557700.0
Caazapa,CZ,1,9496.0,189500.0
Canindeyu,CY,3,14667.0,230600.0
Central,CE,5,2465.0,2158200.0
Concepcion,CN,5,18051.0,251300.0
Cordillera,CR,1,4948.0,307300.0
Guaira,GU,2,3846.0,225400.0
Itapua,IT,2,16525.0,608200.0
Misiones,MI,6,9556.0,126500.0
Neembucu,NE,3,12147.0,89800.0
Paraguari,PG,4,8705.0,257600.0
Presidente Hayes,PH,3,72907.0,125700.0
San Pedro,SP,2,20002.0,430000.0
